Subject,Condition,Threshold,Slope,BayesianThresholdCN,BayesianSlopeCN
sub_0019,Intero,6.828432514399762,18.290267996491245,12.701,18.121
sub_0019,Extero,4.775693868601195,11.042193262779405,2.554,7.642
sub_0020,Intero,-19.200668955662238,16.11855474426594,-11.814,8.963
sub_0020,Extero,6.85055116986735,17.315870462255404,1.018,13.179
sub_0022,Intero,2.185112349819189,12.064374362574744,-2.206,10.393
sub_0022,Extero,-3.21726468334238,13.371218305713446,-1.173,7.561
sub_0023,Intero,-8.557156970573285,17.460052339141,-9.476,17.261
sub_0023,Extero,8.138804209003363,16.67023295267246,5.341,12.62
sub_0024,Intero,8.042979806247969,13.874134577000287,10.301,10.591
sub_0024,Extero,4.173611119001172,18.791073346959244,8.567,17.784
sub_0025,Intero,-20.274534271343995,17.875748204943214,-18.988,18.824
sub_0025,Extero,-8.950462838940314,14.309477107420525,-5.672,13.375
sub_0026,Intero,-6.768733112558112,10.174110905847199,-4.215,7.587
sub_0026,Extero,-5.1241349306927635,13.830314161193053,-2.966,7.367
sub_0027,Intero,5.84033745014616,17.990504091844112,1.325,18.628
sub_0027,Extero,4.667857354771785,10.41598588928538,3.275,5.775
sub_0028,Intero,-18.186250652494373,8.862012437187671,-9.136,2.524
sub_0028,Extero,-7.586289371389421,17.71161960088521,-5.832,17.072
sub_0029,Intero,2.1002566894280603,16.67139658497107,-1.689,15.958
sub_0029,Extero,10.55602648737376,11.221656498657822,4.671,7.996
sub_0030,Intero,12.908100285083744,13.776413387641597,8.016,12.676
sub_0030,Extero,-11.022098392728571,12.657838803161626,-5.018,7.782
sub_0031,Intero,-28.22264889365441,14.003871458508534,-20.309,7.781
sub_0031,Extero,-0.3398495311059315,18.459818468590523,6.126,27.679
sub_0032,Intero,-24.68471812277761,13.076724086859345,-20.441,8.961
sub_0032,Extero,4.8327924217445455,12.2212627362371,0.145,6.784
sub_0034,Intero,4.42741268475913,16.90515182835734,-0.532,27.128
sub_0034,Extero,0.7560184010022222,11.244748824123656,-3.639,7.417
sub_0035,Intero,5.310785453578028,16.945572024085266,4.771,20.072
sub_0035,Extero,0.2992610102167945,15.756049905415368,3.191,7.587
